StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6,Q6_4_TEXT,Q7,Q8,Q9,Q10,Q11,Q11_10_TEXT,Q12,Q12_6_TEXT,Q13,Q13_4_TEXT,Q14,Q15,Q15_4_TEXT,Q16,Q17,Q17_5_TEXT,Q18,Q19,Q20,Q21,Q22
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Gender,Age,Academic Level,Which Medical school are you currently enrolled in?,Which geopolitical zone is your school situated in?,Ethnicity - Selected Choice,Ethnicity - Others - Text,Have you ever attended a scientific conference before?,"If yes, how often do you attend these conferences?",Where do you hear about these conferences from? (Select all that apply),Location of Conference (Select all that apply),Reasons for attending conferences (Select all that apply) - Selected Choice,Reasons for attending conferences (Select all that apply) - Others (Please specify) - Text,What factors do you consider when attending scientific conferences? (Select all that apply) - Selected Choice,What factors do you consider when attending scientific conferences? (Select all that apply) - Others (please specify) - Text,How would you describe your financial situation as a medical student? - Selected Choice,How would you describe your financial situation as a medical student? - Other (please specify) - Text,How much is your monthly Income (Pocket Money),How do you fund your conference attendance? - Selected Choice,How do you fund your conference attendance? - Others (Please specify) - Text,Have you ever faced financial constraints that prevented you from attending a scientific conference?,"If yes, please specify the primary financial barriers you encountered. (Select all that apply) - Selected Choice","If yes, please specify the primary financial barriers you encountered. (Select all that apply) - Other (please specify) - Text","On average, how much do you expect to pay for registration fees to attend a scientific conference?",Do you think the current registration costs for scientific conferences are affordable for medical students in Nigeria?,How do you think the high registration costs for scientific conferences affect medical students in Nigeria? (Select all that apply),What measures do you think could help alleviate the financial burden of attending scientific conferences for medical students in Nigeria?,Is there anything else you would like to share regarding the financial barriers to attending scientific conferences among medical students in Nigeria?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID7""}","{""ImportId"":""QID7_4_TEXT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID14""}","{""ImportId"":""QID12""}","{""ImportId"":""QID12_10_TEXT""}","{""ImportId"":""QID13""}","{""ImportId"":""QID13_6_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID15_4_TEXT""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID17_4_TEXT""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID19_5_TEXT""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID24_TEXT""}"
2024-06-23 17:10:25,2024-06-23 17:19:38,IP Address,100,552,True,2024-06-23 17:19:39,R_8doEvTgpzEjs7m2,anonymous,EN-GB,Male,23-26,600 Level,JUTH,"NC, Nigeria",Others,,Yes,Rarely (Once a year),Flyers,"NW, Nigeria","Networking,Association related activities",,"Relevance to my field of study,Networking opportunities,Professional development,Financial considerations (registration fees, travel costs, etc.),Availability of financial support",,Struggling to meet basic needs.,,"Less than ₦20,000",Personal savings,,Yes,"High registration fees,Transportation expenses (transportation, accommodation),Accommodation expenses,Lack of funding/support from institution or external sources",,"Less than ₦10,000",No,"Limits access to valuable educational opportunities,Increases financial strain on students",1. Scientific conferences registration fees can be highly subsidized for medical students to increase participation. 2. Grants should also be made available 3. Professional who are mentors to medical students  can pay to cover for the registration fees of these medical students.,
2024-06-23 23:45:42,2024-06-23 23:52:54,IP Address,100,432,True,2024-06-23 23:52:55,R_8jK3JZrk15DPZh7,anonymous,EN-GB,Male,23-26,600 Level,"Abubakar Tafawa Balewa University ","NE, Nigeria",Yoruba,,Yes,Rarely (Once a year),"Conference invitation letters,Flyers,Personal contact/ colleagues","NE, Nigeria","To view current research trends and keep up-to-date,Learning opportunity,Networking,Association related activities",,Others (please specify),How it fits within my academic schedule and finances.,Just enough to meet basic needs,,"₦20,000 - ₦40,000",Personal savings,,No,,,"Less than ₦10,000",No,"Limits access to valuable educational opportunities,Increases financial strain on students",Lower cost of registration fees and encouragement by parent associations/institutions to attend for the purpose of boosting the zeal for academic research in students.,"I feel; a student fee option should be made available for conference registrations and possible linking of such students with senior colleagues around their location to ease the Transport and Accommodation burden on the student, which may possibly lead to a mentorship opportunity. "
2024-06-24 00:27:16,2024-06-24 00:34:11,IP Address,100,415,True,2024-06-24 00:34:12,R_2Ez0XnmF0v8P3oO,anonymous,EN-GB,Male,23-26,600 Level,UNIVERSITY OF JOS,"NC, Nigeria",Others,Egun,Yes,Occasionally (2-3 times a year),"Websites of associations,Flyers,Personal contact/ colleagues","SE, Nigeria,SS, Nigeria,NC, Nigeria","Learning opportunity,Tourism,Networking,Association related activities",,"Relevance to my field of study,Financial considerations (registration fees, travel costs, etc.),Availability of financial support",,Just enough to meet basic needs,,"Less than ₦20,000",Grants,,Yes,"High registration fees,Transportation expenses (transportation, accommodation),Lack of funding/support from institution or external sources",,"₦21,000 - ₦40,000",No,"Limits access to valuable educational opportunities,Contributes to disparities in academic and professional advancement,Increases financial strain on students","Considering students for this conferences and making subsidies available ranging from registration fee, transportation cost, to free accommodation. Also making grants available ",
2024-06-24 03:13:07,2024-06-24 03:18:32,IP Address,100,325,True,2024-06-24 03:18:33,R_2F5pAFQCHVpGiiY,anonymous,EN-GB,Female,20-22,400 Level,"University of Benin ","SS, Nigeria",Others,Bini,No,,,,,,,,Struggling to meet basic needs.,,"Less than ₦20,000",,,Yes,"High registration fees,Transportation expenses (transportation, accommodation)",,"Less than ₦10,000",No,"Limits access to valuable educational opportunities,Contributes to disparities in academic and professional advancement","Subsidy for students registration ",The timeframe might clash with important academic activities e.g exams
2024-06-24 06:31:13,2024-06-24 06:34:14,IP Address,100,181,True,2024-06-24 06:34:15,R_2luLbg9ZXygjsbc,anonymous,EN-GB,Male,23-26,600 Level,Ahmadu Bello University Zaria,"NW, Nigeria",Hausa,,Yes,Occasionally (2-3 times a year),"Websites of associations,Conference invitation letters,Flyers,Personal contact/ colleagues,E-mails / subscriptions","SS, Nigeria,SW, Nigeria,NC, Nigeria,NW, Nigeria","To view current research trends and keep up-to-date,Learning opportunity,To build resume,To maintain skill base,Networking,Association related activities",,"Networking opportunities,Professional development,Financial considerations (registration fees, travel costs, etc.),Availability of financial support",,Just enough to meet basic needs,,"₦20,000 - ₦40,000",Personal savings,,Yes,"High registration fees,Transportation expenses (transportation, accommodation),Accommodation expenses,Lack of funding/support from institution or external sources",,"₦21,000 - ₦40,000",No,"Limits access to valuable educational opportunities,Contributes to disparities in academic and professional advancement,Increases financial strain on students","Accessible grants and cheaper cost of conferences ",
2024-06-24 09:21:38,2024-06-24 09:25:59,IP Address,100,261,True,2024-06-24 09:26:01,R_8qPuRwoP4b4PRZL,anonymous,EN-GB,Male,<20,300 Level,"Babcock University ","SW, Nigeria",Yoruba,,No,,,,,,,,Comfortable,,"Less than ₦20,000",,,No,,,"₦10,000 - ₦20,000",Yes,Increases financial strain on students,,
2024-06-24 10:01:58,2024-06-24 10:04:14,IP Address,100,135,True,2024-06-24 10:04:15,R_2DSuXcTF35OM5ag,anonymous,EN-GB,Female,<20,300 Level,"Babcock ","SW, Nigeria",Igbo,,No,,,,,,,,Comfortable,,"₦81,000 - ₦100,000",,,,,,,,Limits access to valuable educational opportunities,,
2024-06-24 10:06:45,2024-06-24 10:08:46,IP Address,100,120,True,2024-06-24 10:08:46,R_2D0wtoSi3Z3igiG,anonymous,EN-GB,Male,20-22,300 Level,Babcock university,"SW, Nigeria",Yoruba,,No,,"Websites of associations,Journals / Newsletters,E-mails / subscriptions",,,,"Relevance to my field of study,Networking opportunities,Professional development,Financial considerations (registration fees, travel costs, etc.)",,Struggling to meet basic needs.,,"Less than ₦20,000",,,,,,,,"Limits access to valuable educational opportunities,Contributes to disparities in academic and professional advancement,Increases financial strain on students",,
2024-06-24 11:37:08,2024-06-24 11:40:54,IP Address,100,225,True,2024-06-24 11:40:55,R_8EA9zOQFcnXDW8P,anonymous,EN-GB,Female,<20,200 Level,"Ben Carson (Snr.) College of Health and Medical Sciences ","SW, Nigeria",Yoruba,,Yes,Rarely (Once a year),Conference invitation letters,"SW, Nigeria","Learning opportunity,To build resume,Networking,Association related activities",,"Relevance to my field of study,Networking opportunities,Financial considerations (registration fees, travel costs, etc.),Availability of financial support",,Struggling to meet basic needs.,,"₦41,000 - ₦60,000",Others (Please specify),If it’s free,Yes,"Transportation expenses (transportation, accommodation),Accommodation expenses,Lack of funding/support from institution or external sources",,"₦10,000 - ₦20,000",No,"Limits access to valuable educational opportunities,Contributes to disparities in academic and professional advancement,Increases financial strain on students",,
2024-06-24 14:22:26,2024-06-24 14:27:34,IP Address,100,308,True,2024-06-24 14:27:35,R_8PYyRBUiAg4Vb1o,anonymous,EN-GB,Female,<20,300 Level,"Ben Carson Snr. College of Medicine, Babcock university ","SW, Nigeria",Others,"Kilba ",No,,"Websites of associations,Flyers,Personal contact/ colleagues,E-mails / subscriptions,Newspapers","SE, Nigeria,SW, Nigeria,NC, Nigeria,NW, Nigeria","To view current research trends and keep up-to-date,Learning opportunity,To build resume,To maintain skill base,Tourism,Networking,Job opportunities",,"Relevance to my field of study,Networking opportunities,Financial considerations (registration fees, travel costs, etc.)",,Just enough to meet basic needs,,"₦41,000 - ₦60,000",Personal savings,,Yes,"High registration fees,Transportation expenses (transportation, accommodation),Accommodation expenses",,"₦10,000 - ₦20,000",No,"Limits access to valuable educational opportunities,Contributes to disparities in academic and professional advancement,Increases financial strain on students","a discounted price for students as most students are dependent on the money received from their parents so they can’t just go out to get money from elsewhere. ","no "
2024-06-25 00:40:18,2024-06-25 00:42:39,IP Address,100,141,True,2024-06-25 00:42:40,R_8I5wbxXESwsBPBM,anonymous,EN-GB,Male,23-26,500 Level,College of Medicine University of Ibadan,"SW, Nigeria",Yoruba,,Yes,Rarely (Once a year),"Websites of associations,Flyers,Journals / Newsletters,Personal contact/ colleagues,E-mails / subscriptions","SW, Nigeria","To view current research trends and keep up-to-date,Learning opportunity,To build resume,Networking,Association related activities",,"Relevance to my field of study,Networking opportunities,Professional development,Financial considerations (registration fees, travel costs, etc.),Availability of financial support",,Just enough to meet basic needs,,"₦61,000 - ₦80,000",Personal savings,,Yes,"High registration fees,Transportation expenses (transportation, accommodation),Accommodation expenses",,"Less than ₦10,000",No,"Limits access to valuable educational opportunities,Contributes to disparities in academic and professional advancement",,
2024-06-25 01:14:43,2024-06-25 01:20:54,IP Address,100,371,True,2024-06-25 01:20:55,R_8PUjSDQ3h3b6S6N,anonymous,EN-GB,Male,23-26,600 Level,"College of Health Sciences University of Ilorin ","NC, Nigeria",Others,Ebira,Yes,Rarely (Once a year),"Flyers,Personal contact/ colleagues","NC, Nigeria","Learning opportunity,To deliver papers",,"Relevance to my field of study,Professional development,Financial considerations (registration fees, travel costs, etc.),Availability of financial support",,Struggling to meet basic needs.,,"Less than ₦20,000",Personal savings,,Yes,"High registration fees,Transportation expenses (transportation, accommodation),Accommodation expenses,Lack of funding/support from institution or external sources",,"Less than ₦10,000",No,"Limits access to valuable educational opportunities,Increases financial strain on students",Create access for free virtual participation in scientific conferences and school research clubs should be financially empowered to cater for conferences requiring financial registrations.,"Medical students are dependent, sometimes I wonder where the organizers expect such money from students "
2024-06-25 01:19:52,2024-06-25 01:28:22,IP Address,100,510,True,2024-06-25 01:28:23,R_8SuTUrBPH0QpbcB,anonymous,EN-GB,Female,23-26,600 Level,University of ilorin,"NC, Nigeria",Yoruba,,Yes,Rarely (Once a year),Personal contact/ colleagues,"NC, Nigeria","To view current research trends and keep up-to-date,Learning opportunity,To build resume,Association related activities",,"Relevance to my field of study,Networking opportunities,Professional development",,Just enough to meet basic needs,,"₦20,000 - ₦40,000",Personal savings,,No,,,"Less than ₦10,000",No,"Limits access to valuable educational opportunities,Contributes to disparities in academic and professional advancement","A grant for active and participating students that covers students registration, initially might not cover for all so maybe a selection process can be done to sponsor a few who are interested. Also organizing association to consider cut down of fees for students.  ",No
